QuestionId,AnswerType,AnswerText,MisconceptionId
17,D,\( \begin{array}{l}(2 n-1)+(2 m+1) \\ =2 n+2 m \\ =2(n+m)\end{array} \),
18,A,\( -7 \),2179.0
18,B,\( -5 \),
18,C,\( -2 \),
18,D,\( -6 \),1824.0
19,A,\( \frac{1-t}{3 s} \),1916.0
19,B,\( \frac{s-3 t}{3 s} \),2147.0
19,C,\( \frac{3-s t}{3 s} \),
19,D,\( \frac{1-t}{s-3} \),907.0
20,A,\( 6 \mathrm{~cm} \),
20,B,\( 5 \mathrm{~cm} \),
20,C,\( 4 \mathrm{~cm} \),
20,D,\( 25 \mathrm{~cm} \),1984.0
21,A,\( (3 x+2)(3 x+1) \),2240.0
21,B,\( (3 x+2)(x+1) \),
21,C,Cannot be factorised,
21,D,\( (3 x+1)(x+2) \),
22,A,Only Tom,
22,B,Only Katie,1408.0
22,C,Both Tom and Katie,2408.0
22,D,Neither is correct,
23,A,Fido is walking home,
23,B,Fido has fallen asleep,2492.0
23,C,Fido is accelerating,2032.0
23,D,Fido is walking away from home,2437.0
24,A,\( 112 \),
24,B,\( 27 \),
24,C,\( 432 \),2271.0
24,D,\( 104 \),1319.0
25,A,\( 0.4 \) metres per hour,
25,B,\( 40 \) metres per hour,509.0
25,C,\( 2.5 \) metres per hour,2359.0
25,D,\( 4 \) metres per hour,
26,A,\( x^{2}+y^{2}=16 \),
26,B,\( x^{2}+y^{2}=\sqrt{4} \),2474.0
26,C,\( x^{2}+y^{2}=8 \),2316.0
26,D,\( x^{2}+y^{2}=4 \),1944.0
27,A,\( -12 \),
27,B,\( 6 \),1597.0
27,C,\( 14 \),
27,D,\( 32 \),
28,A,"\( 19,102 \)",878.0
28,B,"\( 19,099 \)",1824.0
28,C,"\( 19,098 \)",
28,D,"\( 19,097 \)",
29,A,\( 2 \leq n \),1214.0
29,B,\( 10 \leq n \),
29,C,\( n \leq 10 \),811.0
29,D,\( -4 \leq n \),1214.0
30,A,"Only
Tom",
30,B,Only Katie,
30,C,Both Tom and Katie,220.0
30,D,Neither is correct,
31,A,\( 4.5 \),
31,B,\( 45 \),704.0
31,C,\( 5 \),1272.0
31,D,\( 45000 \),1651.0
32,A,\( \frac{2 r}{5}=5+r \),1566.0
32,B,\( 10 r-15=10+5 r \),98.0
32,C,\( 2 r-3=10+r \),347.0
32,D,\( 2 r-3=10+5 r \),
33,A,![A cylinder sitting on one of its circular faces.](),218.0
33,B,![A wide cylinder with a narrow cylinder on top.](),
33,C,![A narrow cylinder with a wide cylinder on top.](),961.0
33,D,"![A shape that looks like a beaker. It has a circular base, with sloped edges up to a larger circular face at the top.]()",
34,A,"\( 801,426 \)",2264.0
34,B,"\( 911,426 \)",1773.0
34,C,"\( 891,426 \)",
34,D,\( 90.1426 \),228.0
35,A,\( 60 \% \),
35,B,\( 6 \% \),61.0
35,C,\( 0.6 \% \),1965.0
35,D,\( 0.006 \% \),1973.0
36,A,\( 4 \times d \),1680.0
36,B,\( d 4 \),267.0
36,C,\( 4 d \),
36,D,\( d^{4} \),1644.0
37,A,\( \frac{3}{6} \),848.0
37,B,\( \frac{2}{6} \),
37,C,\( \frac{3}{4} \),
37,D,\( \frac{9}{12} \),2021.0
38,A,\( \frac{11}{2 x} \),
38,B,\( \frac{7}{3 x} \),217.0
38,C,\( \frac{11}{x} \),
38,D,\( \frac{7}{2 x} \),2234.0
39,A,\( 402 \),1958.0
39,B,\( -402 \),
39,C,\( -412 \),699.0
39,D,This problem cannot be solved,959.0
40,A,\( £ 130 \),1582.0
40,B,\( £ 250 \),
40,C,\( £ 115 \),
40,D,\( £ 175 \),
41,A,\( 49 \),
41,B,\( 50 \),2386.0
41,C,\( 42 \),
41,D,\( 56 \),2252.0
42,A,\( -5 \),182.0
42,B,\( -\frac{1}{5} \),1461.0
42,C,\( 5 \),
42,D,Not enough information,630.0
43,A,\( \frac{2}{4} \),381.0
43,B,\( \frac{2}{8} \),
43,C,\( \frac{2}{16} \),
43,D,\( \frac{4}{4} \),1156.0
44,A,Scalene,646.0
44,B,Isosceles,1970.0
44,C,Right-angled,
44,D,Equilateral,1970.0
45,A,\( 10 a+2 \),220.0
45,B,\( 5 a+4 \),1911.0
45,C,\( 7 a+4 \),2085.0
45,D,\( 10 a+4 \),
46,A,Only Tom,31.0
46,B,Only Katie,
46,C,Both Tom and Katie,31.0
46,D,Neither is correct,31.0
47,A,\( 61 \),1403.0
47,B,\( 9 \),2271.0
47,C,\( 81 \),
47,D,\( 30 \),
48,A,\( 3 a-18 \),617.0
48,B,\( 3 a-4 \),
48,C,\( 3 a-21 \),657.0
48,D,\( 3 a-7 \),657.0
49,A,\( 728 \),1322.0
49,B,\( 730 \),1322.0
49,C,\( 366 \),
49,D,\( 732 \),
50,A,\( 0.02304 \),
50,B,\( 0.2304 \),944.0
50,C,\( 0.0002304 \),544.0
50,D,\( 0.002304 \),964.0
51,A,\( 240+120+42 \),779.0
51,B,\( 2400+120+47 \),
51,C,\( 400+20+7 \),
51,D,\( 2400+120+42 \),
52,A,\( \frac{b}{a} \),
52,B,\( a \div b \),2359.0
52,C,\( \frac{a}{b} \),1542.0
52,D,\( a b \),1734.0
53,A,A,1877.0
53,B,B,
53,C,C,226.0
53,D,D,
54,A,\( \frac{7}{10} \),
54,B,\( 3 \),659.0
54,C,\( \frac{3}{7} \),2190.0
54,D,\( \frac{3}{10} \),
55,A,\( 75 \),
55,B,\( 1 \),2271.0
55,C,\( -1 \),2271.0
55,D,\( 65 \),1383.0
56,A,\( 1: 3 \),
56,B,\( 5: 3 \),
56,C,\( 5: 8 \),
56,D,None of these,499.0
57,A,\( \operatorname{Sin} \),718.0
57,B,Cos,809.0
57,C,Tan,
57,D,None of these,1450.0
58,A,"![Image of a number line. At -1 there is an open, unfilled circle drawn, with a arrow pointing to the left, towards the negative numbers in the number line.]()",1880.0
58,B,"![Image of a number line. At -1 there is a red, filled circle drawn, with a arrow pointing to the left, towards the negative numbers in the number line.]()",
58,C,"![Image of a number line. At -1 there is an open, unfilled circle drawn, with a arrow pointing to the right, towards the higher positive numbers in the number line.]()",
58,D,"![Image of a number line. At -1 there is a red, filled circle drawn, with a arrow pointing to the right, towards the higher positive numbers in the number line.]()",550.0
59,A,\( 12 \),1313.0
59,B,\( 52 \),
59,C,\( 170 \),2206.0
59,D,Impossible as you cannot have a percentage greater than \( 100 \),1601.0
60,A,\( 1 \frac{16}{21} \),
60,B,\( 1 \frac{1}{3} \),1104.0
60,C,\( 3 \frac{1}{3} \),
60,D,Cannot be simplified,2178.0
61,A,\( \frac{3}{8} \),
61,B,\( \frac{5}{8} \),
61,C,\( \frac{1}{2} \),
61,D,None of these,990.0
62,A,\( 2+4=6 \),1068.0
62,B,\( 2-4=(-2) \),352.0
62,C,\( 2 \times 4=8 \),
62,D,\( 2 \div 4=0.5 \),2159.0
63,A,\( 9 \),
63,B,\( 1 \),2271.0
63,C,\( 5 \),1894.0
63,D,It is not possible,1751.0
64,A,\( p=\frac{2}{3} \),2359.0
64,B,\( p=1.5 \),
64,C,\( p=0.135 \),975.0
64,D,\( p=0.15 \),
65,A,\( 8 \),
65,B,\( -10 \),2316.0
65,C,\( 16 \),2245.0
65,D,\( 25 \),
66,A,\( 4.41 \),980.0
66,B,\( 1.71 \),980.0
66,C,\( 1.62 \),
66,D,\( 7.82 \),1514.0
67,A,\( 3 \),
67,B,\( 4.5 \),2248.0
67,C,\( 81 \),1012.0
67,D,\( 18 \),2316.0
68,A,\( (w-4)^{2}-16=0 \),
68,B,\( (w-4)^{2}+16=0 \),
68,C,\( (w-4)^{2}=0 \),882.0
68,D,\( (w-4)^{2}-4=0 \),
69,A,Town A,906.0
69,B,Town B,
69,C,They are the same,906.0
69,D,Impossible to say,906.0
70,A,\( 750 \),2023.0
70,B,\( 529.2 \),
70,C,\( 546 \),
70,D,\( 614 \),
71,A,\( 25 \),
71,B,\( 85 \),1887.0
71,C,\( 30 \),378.0
71,D,\( 55 \),378.0
72,A,\( y=1 \),2083.0
72,B,\( y=0 \),2113.0
72,C,\( y=x \),422.0
72,D,\( x=0 \),
73,A,\( 1000 \),1988.0
73,B,\( 3000 \),
73,C,\( 500 \),1248.0
73,D,\( 0 \),
74,A,\( t^{2}-45=0 \),
74,B,\( t^{2}-45=-45 \),1494.0
74,C,\( t^{3}=-45 \),868.0
74,D,\( t^{2}=-45 \),
75,A,\( 0.826 \),
75,B,\( 0.830 \),1775.0
75,C,\( 0.825 \),1775.0
75,D,\( 0.8101 \),1775.0
76,A,always,1180.0
76,B,sometimes,1180.0
76,C,never,
76,D,I don't know,1180.0
77,A,\( y=\frac{1}{3} x+1 \),925.0
77,B,\( y=5-\frac{1}{3} x \),
77,C,\( y=3 x+7 \),1917.0
77,D,\( x=3 y-4 \),
78,A,\( 4 \mathrm{~cm} \),
78,B,\( 2 \mathrm{~cm} \),272.0
78,C,\( 8 \mathrm{~cm} \),1835.0
78,D,Not enough information,2397.0
79,A,\( \{x \leq-2\} \cup\{x \geq 3\} \),
79,B,\( \{-2 \leq x \leq 3\} \),1771.0
79,C,\( \{-2 \geq x \geq 3\} \),1590.0
79,D,\( \{x \geq-2\} \cup\{x \leq 3\} \),1880.0
80,A,A,478.0
80,B,B,478.0
80,C,C,
80,D,D,421.0
81,A,"\( \begin{array}{l}3,506,212 \\ 3,652 \\ 605,321 \\ 650,312\end{array} \)",1468.0
81,B,"\( \begin{array}{l}3,652 \\ 605,321 \\ 650,312 \\ 3,506,212\end{array} \)",
81,C,"\( \begin{array}{l}605,321 \\ 3,506,212 \\ 650,312 \\ 3,652\end{array} \)",1365.0
81,D,"\( \begin{array}{l}3,506,212 \\ 650,312 \\ 605,321 \\ 3,652\end{array} \)",
82,A,\( x<9 \),1880.0
82,B,\( x \leq 9 \),
82,C,\( x>9 \),
82,D,\( x \geq 9 \),1660.0
83,A,\( 400000 \),
83,B,\( 500000 \),1988.0
83,C,\( 400100 \),1744.0
83,D,\( 400099 \),
84,A,\( y=3 x \),1568.0
84,B,\( y=3 \),
84,C,\( x=3 \),642.0
84,D,\( x=3 y \),2301.0
85,A,\( 1 \),1240.0
85,B,\( -7 \),2376.0
85,C,\( -5 \),
85,D,\( 9 \),
86,A,\( \frac{11}{22} \),217.0
86,B,\( \frac{1}{2} \),217.0
86,C,\( \frac{11}{11} \),29.0
86,D,\( 1 \),
87,A,"\( x=4.25, \quad x=-0.25 \)",
87,B,No real solutions,
87,C,"\( x=-4.25, \quad x=0.25 \)",212.0
87,D,\( x=-1 \),379.0
88,A,\( 5 \mathrm{~mm} \),2091.0
88,B,\( 7 \mathrm{~mm} \),
88,C,\( 10 \mathrm{~mm} \),
88,D,\( 15 \mathrm{~mm} \),
89,A,\( 1 \),1240.0
89,B,\( -5 \),2376.0
89,C,\( 6 \),
89,D,\( -4 \),
90,A,\( 120^{\circ} \),2218.0
90,B,\( 50^{\circ} \),2137.0
90,C,\( 70^{\circ} \),2137.0
90,D,Not enough information to work it out,
91,A,Divide by \( x \),265.0
91,B,Square root both sides of the equation,265.0
91,C,Subtract \( 7 x \) from both sides of the equation,265.0
91,D,Subtract \( 8 \) from both sides of the equation,
92,A,\( 4: 2 \),
92,B,\( 2: 4 \),1918.0
92,C,\( 2: 1 \),
92,D,\( 1: 2 \),
93,A,\( y=(x-1)^{2} \),
93,B,\( y=(x+1)^{2} \),224.0
93,C,\( y=x^{2}-1 \),460.0
93,D,\( y=x^{2}+1 \),492.0
94,A,Only Tom,
94,B,Only Katie,1388.0
94,C,Both Tom and Katie,1388.0
94,D,Neither is correct,290.0
95,A,\( 96 \),312.0
95,B,\( 72 \),
95,C,\( 12 \),372.0
95,D,\( 63 \),105.0
96,A,"Only
Tom",1138.0
96,B,Only Katie,
96,C,Both Tom and Katie,1138.0
96,D,Neither is correct,
97,A,Alternate angles,532.0
97,B,Corresponding angles,625.0
97,C,Vertically opposite angles,
97,D,Angles on a straight line,2365.0
98,A,\( x=-3.3 \),391.0
98,B,\( x=7.5 \),57.0
98,C,\( x=-1 \),337.0
98,D,\( x=5 \),
99,A,\( 85 \mathrm{~cm} \),545.0
99,B,\( 12 \mathrm{~cm} \),1815.0
99,C,\( 3.4 \mathrm{~cm} \),
99,D,Not enough information,255.0
100,A,\( \frac{1}{4} \),463.0
100,B,\( 75 \),1396.0
100,C,\( \frac{3}{4} \),
100,D,Impossible to say,1326.0
101,A,\( 8.4 \% \),1786.0
101,B,\( 20 \% \),
101,C,\( 16 \% \),658.0
101,D,\( 24 \% \),
102,A,\( 5 \mathrm{~cm} \),
102,B,\( 6 \mathrm{~cm} \),1953.0
102,C,\( 7 \mathrm{~cm} \),1953.0
102,D,Not enough information,398.0
103,A,\( 120 \mathrm{~cm}^{2} \),867.0
103,B,\( 40 \mathrm{~cm}^{2} \),669.0
103,C,\( 30 \mathrm{~cm}^{2} \),
103,D,\( 15 \mathrm{~cm}^{2} \),695.0
104,A,\( d^{2}=22 \),969.0
104,B,\( d-6= \pm 4 \),
104,C,\( d-6=4 \),132.0
104,D,\( d-3=8 \),
105,A,\( 53^{\circ} \),1389.0
105,B,\( 42^{\circ} \),
105,C,\( 138^{\circ} \),8.0
105,D,Not enough information,1791.0
106,A,\( 40^{\circ} \),1362.0
106,B,\( 48^{\circ} \),
106,C,\( 120^{\circ} \),1445.0
106,D,Not enough information,
107,A,\( \frac{45}{75} \),1008.0
107,B,\( 75 \),839.0
107,C,\( 9 \),609.0
107,D,\( 25 \),
108,A,\( +2 \),2143.0
108,B,\( -15 \),
108,C,\( -8 \),
108,D,\( +15 \),583.0
109,A,Only Tom,384.0
109,B,Only Katie,
109,C,Both Tom and Katie,384.0
109,D,Neither is correct,
110,A,\( 9 \) kilograms,
110,B,\( 19 \) kilograms,
110,C,\( 44 \) kilograms,11.0
110,D,\( 50 \) kilograms,
111,A,![Trapezium](),255.0
111,B,![Rhombus](),255.0
111,C,![Rectangle](),255.0
111,D,![Square](),
112,A,\( 3-4 \),2093.0
112,B,\( 3 \div 4 \),
112,C,\( 4-3 \),2093.0
112,D,\( 4 \div 3 \),1542.0
113,A,\( 3 x-5 \),1805.0
113,B,\( 3 x+13 \),
113,C,\( 13 x-5 \),1514.0
113,D,\( 13 x+13 \),
114,A,\( \triangle=-25 \),
114,B,\( \triangle=+25 \),974.0
114,C,\( \triangle=+5 \),2131.0
114,D,"\(
\triangle=+0
\)
(no \( m \) term)",2256.0
115,A,\( 3 \),851.0
115,B,\( -3 \),
115,C,\( 5 \),
115,D,\( -5 \),905.0
116,A,\( \frac{2}{3} \),
116,B,\( \frac{5}{6} \),
116,C,\( \frac{3}{10} \),2271.0
116,D,There are no values that make this calculation work,2173.0
117,A,\( 1201 \ \mathrm{ml} \),2356.0
117,B,\( 900 \ \mathrm{ml} \),105.0
117,C,\( 4800 \ \mathrm{ml} \),1646.0
117,D,\( 1600 \ \mathrm{ml} \),
118,A,\( 5 \),877.0
118,B,\( 50 \),
118,C,\( 6 \),2332.0
118,D,\( 60 \),2332.0
119,A,"Only
Tom",1597.0
119,B,"Only
Katie",1400.0
119,C,Both Tom and Katie,
119,D,Neither is correct,
120,A,\( 8 \mathrm{~mm}^{2} \),877.0
120,B,\( 44 \mathrm{~mm}^{2} \),486.0
120,C,\( 404 \mathrm{~mm}^{2} \),
120,D,\( 40004 \mathrm{~mm}^{2} \),1652.0
121,A,\( 5 \),1743.0
121,B,\( -5 \),1324.0
121,C,\( \frac{5}{3} \),1214.0
121,D,\( -\frac{5}{3} \),
122,A,The girls because their range is lower,
122,B,The boys because their mean is lower,1600.0
122,C,The boys because their range is higher,1923.0
122,D,The girls because their mean is higher,880.0
123,A,Only Tom,
123,B,Only Katie,
123,C,Both Tom and Katie,1425.0
123,D,Neither is correct,
124,A,\( -13 \),1282.0
124,B,\( 13 \),1435.0
124,C,\( 3 \),1435.0
124,D,\( -3 \),
125,A,Line \( 1 \),583.0
125,B,Line \( 2 \),
125,C,Line \( 3 \),
125,D,Everything is correct,
126,A,\( 48 \mathrm{~cm}^{2} \),1148.0
126,B,\( 104 \mathrm{~cm}^{2} \),1148.0
126,C,\( 42 \mathrm{~cm}^{2} \),
126,D,\( 56 \mathrm{~cm}^{2} \),1148.0
127,A,A,
127,B,B,1743.0
127,C,C,
127,D,D,
128,A,"Only
Jo",
128,B,"Only
Paul",77.0
128,C,Both Jo and Paul,77.0
128,D,Neither is correct,
129,A,\( 8 \),2093.0
129,B,\( 5 \),
129,C,\( -8 \),
129,D,\( -5 \),1648.0
130,A,"\[
+1
\]
(or just a + sign)",1213.0
130,B,"\( -1 \)
(or just a - sign)",
130,C,\( +3 \),2475.0
130,D,\( -3 \),
131,A,\( p=\frac{6}{15} \),
131,B,\( p=\frac{6}{10} \),1852.0
131,C,\( p=\frac{51}{10} \),
131,D,\( p=\frac{5}{50} \),1360.0
132,A,"Only
Tom",
132,B,Only Katie,
132,C,Both Tom and Katie,811.0
132,D,Neither is correct,
133,A,Only Tom,1406.0
133,B,Only Katie,405.0
133,C,Both Tom and Katie,
133,D,Neither is correct,
134,A,\( 0 \),1876.0
134,B,\( 0.09 \),1402.0
134,C,\( 0.01 \),1605.0
134,D,\( 0.1 \),
135,A,\( 100 \% \),1184.0
135,B,\( 60 \% \),2563.0
135,C,\( \frac{2}{10} \),
135,D,\( 0.4 \),2563.0
136,A,\( -3 \) and \( -8 \),1597.0
136,B,\( -4 \) and \( 6 \),
136,C,\( -10 \) and \( -14 \),191.0
136,D,\( -3 \) and \( 9 \),
137,A,\( \begin{array}{c}P=1.5 \\ Q=2\end{array} \),11.0
137,B,\( \begin{array}{c}P=2 \\ Q=1.5\end{array} \),
137,C,\( \begin{array}{l}P=2 \\ Q=1\end{array} \),2095.0
137,D,\( \begin{array}{l}P=1 \\ Q=2\end{array} \),
138,A,Triangle,1837.0
138,B,Triangular prism,1783.0
138,C,Triangularbased pyramid,
138,D,Icosahedron,
139,A,\( +7 \),
139,B,\( -12 \),1597.0
139,C,\( +12 \),
139,D,\( -7 \),1416.0
140,A,\( (p+9)(p-9) \),838.0
140,B,\( (p+3 \sqrt{11})(p-3 \sqrt{11}) \),838.0
140,C,\( p(p-99) \),
140,D,Does not factorise,
141,A,"Only
Tom",82.0
141,B,"Only
Katie",
141,C,Both Tom and Katie,
141,D,Neither is correct,
142,A,\( 345^{\circ} \),1250.0
142,B,\( 215^{\circ} \),1290.0
142,C,\( 335^{\circ} \),
142,D,\( 205^{\circ} \),1290.0
143,A,\( \bigstar=-6 \),978.0
143,B,\( \bigstar=-3 \),1724.0
143,C,\( \bigstar=-1.5 \),
143,D,\( \bigstar=-\sqrt{6} \),1714.0
144,A,a square number,
144,B,another triangle number,271.0
144,C,a cube number,
144,D,a Fibonacci number,
145,A,\( 3 \),1807.0
145,B,\( 7 \),
145,C,\( 4 \),1915.0
145,D,\( 5 \),
146,A,Three point five,1637.0
146,B,Three fives,1523.0
146,C,Three fifths,
146,D,Third fifths,1523.0
147,A,"![A blue box containing a ""greater than"" symbol  and an orange box containing a ""less than"" symbol]()",1880.0
147,B,"![A blue box containing a ""less than"" symbol  and an orange box containing a ""less than"" symbol]()",
147,C,"![A blue box containing a ""greater than"" symbol  and an orange box containing a ""greater than"" symbol]()",
147,D,"![A blue box containing a ""less than"" symbol  and an orange box containing a ""greater than"" symbol]()",
148,A,\( \frac{1}{4} \),760.0
148,B,\( 1 \frac{4}{5} \),
148,C,\( \frac{7}{5} \),
148,D,Not possible as it is greater than \( 1 \),1424.0
149,A,\( 0.021 \),397.0
149,B,\( 0.301 \),2346.0
149,C,\( 0.031 \),
149,D,\( 0.21 \),397.0
150,A,Cubic metres,1169.0
150,B,Centimetres cubed,996.0
150,C,Litres,1520.0
150,D,Metres,
151,A,To get the next term you add \( 6 \) to the previous term,108.0
151,B,To get the next term you add the previous two terms together,
151,C,To get the next term you double the previous term and add \( 2 \),108.0
151,D,To get the next term you multiply the previous term by \( 3 \) and subtract \( 2 \),108.0
152,A,\( 5050 \),
152,B,\( 5100 \),2392.0
152,C,\( 5000 \),2392.0
152,D,\( 5010 \),322.0
153,A,\( d=-\frac{1}{4} \),1214.0
153,B,\( d=4 \),1717.0
153,C,\( d=-4 \),
153,D,\( d=\frac{1}{4} \),
154,A,"\( (1,40) \)",1731.0
154,B,"\( (5,40) \)",
154,C,"\( (10,40) \)",1731.0
154,D,"\( (20,40) \)",747.0
155,A,\( 7+7.5 \),1788.0
155,B,\( 9+10 \),
155,C,\( 7+6 \),1788.0
155,D,\( 6+7.5 \),1788.0
156,A,\( 3 \frac{1}{2} \),1104.0
156,B,\( 6 \frac{1}{6} \),
156,C,\( 2 \frac{1}{6} \),
156,D,Cannot be simplified,606.0
157,A,\( 0 \),
157,B,\( 0 s \),1277.0
157,C,\( 1 s \),
157,D,\( S \),
158,A,Subtract the smallest number from the largest number.,
158,B,Write the numbers in ascending order.,1306.0
158,C,Add all the numbers together.,1098.0
158,D,Write the numbers in ascending or descending order.,1306.0
159,A,\( 4 \),1701.0
159,B,\( -4 \),
159,C,\( 3 \),
159,D,\( 0 \),807.0
160,A,\( \begin{array}{c}x=-8 \\ \text { and } \\ x=-5\end{array} \),
160,B,\( \begin{array}{c}x=-8 \\ \text { and } \\ x=5\end{array} \),
160,C,\( \begin{array}{c}x=8 \\ \text { and } \\ x=-5\end{array} \),2436.0
160,D,\( \begin{array}{c}x=8 \\ \text { and } \\ x=5\end{array} \),
161,A,\( 42 \),1093.0
161,B,\( 26 \),52.0
161,C,\( 34 \),1631.0
161,D,\( 30 \),
162,A,\( 5.5 \),
162,B,\( 12 \),1225.0
162,C,\( 6 \),2426.0
162,D,\( 18 \),2198.0
163,A,Add to give \( 6 \) and multiply to give \( 5 \),2142.0
163,B,Add to give \( 6 x \) and multiply to give \( 5 \),2142.0
163,C,Add to give \( 5 \) and multiply to give \( 6 \),
163,D,Add to give \( 5 x \) and multiply to give \( 6 \),2068.0
164,A,\( 88 \mathrm{~cm}^{2} \),159.0
164,B,\( 71.5 \mathrm{~cm}^{2} \),590.0
164,C,\( 1144 \mathrm{~cm}^{2} \),71.0
164,D,\( 44 \mathrm{~cm}^{2} \),
165,A,\( 38 \),261.0
165,B,\( 11 \),1319.0
165,C,\( 888 \),521.0
165,D,\( 24 \),
166,A,\( \frac{9 x-1}{6 x^{2}-1} \),2488.0
166,B,\( \frac{-1}{6} \times \frac{9}{x-1} \),891.0
166,C,\( \frac{x-1}{6} \times \frac{9}{(x-1)(x-1)} \),547.0
166,D,\( \frac{x-1}{6} \times \frac{9}{(x+1)(x-1)} \),
167,A,\( -7 \),2053.0
167,B,\( -1 \),2053.0
167,C,\( -4 \),
167,D,\( 8 \),2109.0
168,A,\( 30 \),
168,B,\( 12 \),2192.0
168,C,\( 2.5 \),1310.0
168,D,\( 120 \),631.0
169,A,\( C=15 n \),641.0
169,B,\( C=55 n \),389.0
169,C,\( C=40+15 n \),
169,D,\( C=40 n+15 \),727.0
170,A,\( 0 \),
170,B,\( -2 \),1631.0
170,C,\( -4 \),
170,D,\( 6 \),2284.0
171,A,"![426 multiplied by 82 set out to perform long multiplication. 426 is written in 3 columns with 400 in the first column, 20 in the second column and 6 in the third column. 82 is written underneath this, with 80 under 400 and 2 under 20.]()",
171,B,![426 multiplied by 82 set out to perform long multiplication. 82 is written under 426. The 8 of 82 is under the 4 of 426 and the 2 of 82 is under the 2 of 426.](),980.0
171,C,![426 multiplied by 82 set out to perform long multiplication. 82 is written under 426. The 8 of 82 is under the 2 of 426 and the 2 of 82 is under the 6 of 426](),
171,D,"![426 multiplied by 82 set out to perform long multiplication. 426 is written in 3 columns with 400 in the first column, 20 in the second column and 6 in the third column. 82 is written underneath this, with 80 under 20 and 2 under 6.]()",1626.0
172,A,\( -2 \),
172,B,\( 5 \),2376.0
172,C,\( -7 \),936.0
172,D,\( 1 \),1240.0
173,A,\( 1: 1.5 \),
173,B,\( 1: \frac{2}{3} \),
173,C,\( 1: 0 \),2163.0
173,D,\( 1: 6 \),1350.0
174,A,\( 2 y=6 x-5 \),1743.0
174,B,\( y=3 x-2 \),1868.0
174,C,\( y=4-3 x \),
174,D,\( y=3(1+x) \),1743.0
175,A,"Only
Tom",1940.0
175,B,Only Katie,
175,C,Both Tom and Katie,1940.0
175,D,Neither is correct,1009.0
176,A,\( 14 \),
176,B,\( 16 \),
176,C,\( -2 \),82.0
176,D,\( 4 \),
177,A,\( x>4 \),863.0
177,B,\( x=3.5 \),742.0
177,C,\( x<3.5 \),
177,D,\( x>3.5 \),
