question_id,question_text,construct,subject,correct_option,correct_text,incorrect_option,incorrect_text,has_math_symbols,misconception_id,misconception_desc,subject_cluster,difficulty,misconception_cluster,misconception_clusterId,misconception_merged,misconception_merged_id
7,\( 43.2 \div 10= \),Divide decimals by 10,Multiplying and Dividing with Decimals,A,\( 4.32 \),C,"30    \( 33.2 \)
Name: AnswerText, dtype: object",True,2273,Subtracts instead of divides,"Fractions, Decimals & Conversions",Easy,Core Mathematical Knowledge Gaps,12,Fundamental_Arithmetic,1
7,\( 43.2 \div 10= \),Divide decimals by 10,Multiplying and Dividing with Decimals,A,\( 4.32 \),D,"31    \( 43.02 \)
Name: AnswerText, dtype: object",True,2133,"When dividing a decimal by a multiple of 10, just divides the fractional place values ","Fractions, Decimals & Conversions",Easy,Spatial Reasoning & Estimation,7,Geometry_Spatial,4
8,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",Subtract proper fractions with different denominators which do not share a common factor,Adding and Subtracting Fractions,A,\( 7 \),B,"33    \( 5 \)
Name: AnswerText, dtype: object",True,907,Does not find a common denominator when adding/subtracting fractions,"Fractions, Decimals & Conversions",Easy,Data Handling & Number Sense,10,Data_Conversions,5
8,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",Subtract proper fractions with different denominators which do not share a common factor,Adding and Subtracting Fractions,A,\( 7 \),C,"34    \( 17 \)
Name: AnswerText, dtype: object",True,1514,Adds instead of subtracts,"Fractions, Decimals & Conversions",Easy,Core Mathematical Knowledge Gaps,12,Fundamental_Arithmetic,1
8,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",Subtract proper fractions with different denominators which do not share a common factor,Adding and Subtracting Fractions,A,\( 7 \),D,"35    \( 3 \)
Name: AnswerText, dtype: object",True,907,Does not find a common denominator when adding/subtracting fractions,"Fractions, Decimals & Conversions",Easy,Data Handling & Number Sense,10,Data_Conversions,5
9,"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)",Identify horizontal translations in the form f(x) = for non-trigonometric functions,Transformations of functions in the form f(x),C,"Translation by vector
\(
\left[\begin{array}{l}
3 \\
0
\end{array}\right]
\)",A,"36    Translation by vector\r\n\(\r\n\left[\begin{ar...
Name: AnswerText, dtype: object",True,1889,Believes f(x - a) translates the function up a units,Core Mathematical Fundamentals,Medium,Negative Numbers & Inequalities,4,Algebra_Advanced_Math,3
9,"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)",Identify horizontal translations in the form f(x) = for non-trigonometric functions,Transformations of functions in the form f(x),C,"Translation by vector
\(
\left[\begin{array}{l}
3 \\
0
\end{array}\right]
\)",B,"37    Translation by vector\r\n\(\r\n\left[\begin{ar...
Name: AnswerText, dtype: object",True,1234,Believes f(x + a) translates the function up a units,Core Mathematical Fundamentals,Medium,Negative Numbers & Inequalities,4,Algebra_Advanced_Math,3
9,"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)",Identify horizontal translations in the form f(x) = for non-trigonometric functions,Transformations of functions in the form f(x),C,"Translation by vector
\(
\left[\begin{array}{l}
3 \\
0
\end{array}\right]
\)",D,"39    Translation by vector\r\n\(\r\n\left[\begin{ar...
Name: AnswerText, dtype: object",True,1312,Believes f(x) + a translates the function right a units,Core Mathematical Fundamentals,Medium,Negative Numbers & Inequalities,4,Algebra_Advanced_Math,3
10,"John is expanding these three brackets:
\(
(x+5)(x-3)(x+6)
\)

He finds it helpful to split the first bracket and view the problem as follows:
\(
x(x-3)(x+6)+5(x-3)(x+6)
\)

He expands the brackets further. Before he simplifies, what are the terms than contain an \( \boldsymbol{x}^{2} \) ?",Expand products of three binomials in the form (x + a)(x + b)(x + c),Expanding Triple Brackets and more,B,\( \begin{array}{l}+6 x^{2} \\ -3 x^{2} \\ +5 x^{2}\end{array} \),C,"42    \( \begin{array}{l}+6 x^{2} \\ +3 x^{2} \\ +5 ...
Name: AnswerText, dtype: object",True,583,Ignores negative sign when expanding bracket,Core Mathematical Fundamentals,Hard,Decimal Operations & Place Value,6,Fundamental_Arithmetic,1
11,This is the net of a... ![A circle touching a sector](),Identify the net of a non-prism,Nets,D,Cone,A,"44    Triangle
Name: AnswerText, dtype: object",False,690,Struggles to visualise nets of 3D shapes,Core Mathematical Fundamentals,Easy,Algebraic Expressions & Sequences,2,Algebra_Advanced_Math,3
11,This is the net of a... ![A circle touching a sector](),Identify the net of a non-prism,Nets,D,Cone,B,"45    Triangular prism
Name: AnswerText, dtype: object",False,690,Struggles to visualise nets of 3D shapes,Core Mathematical Fundamentals,Easy,Algebraic Expressions & Sequences,2,Algebra_Advanced_Math,3
11,This is the net of a... ![A circle touching a sector](),Identify the net of a non-prism,Nets,D,Cone,C,"46    Triangularbased pyramid
Name: AnswerText, dtype: object",False,690,Struggles to visualise nets of 3D shapes,Core Mathematical Fundamentals,Easy,Algebraic Expressions & Sequences,2,Algebra_Advanced_Math,3
12,"Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()",Identify alternate angles,Angle Facts with Parallel Lines,A,"Only
Tom",B,"49    Only\r\nKatie
Name: AnswerText, dtype: object",False,2156,Thinks alternate angles are always equal,Graphs & Coordinate Geometry,Medium,Ratio & Proportional Reasoning Errors,0,Fractions_Ratios,2
12,"Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()",Identify alternate angles,Angle Facts with Parallel Lines,A,"Only
Tom",C,"50    Both Tom and Katie
Name: AnswerText, dtype: object",False,2156,Thinks alternate angles are always equal,Graphs & Coordinate Geometry,Medium,Ratio & Proportional Reasoning Errors,0,Fractions_Ratios,2
12,"Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()",Identify alternate angles,Angle Facts with Parallel Lines,A,"Only
Tom",D,"51    Neither is correct
Name: AnswerText, dtype: object",False,1588,Thinks only angles on parallel lines can be alternate,Graphs & Coordinate Geometry,Medium,Ratio & Proportional Reasoning Errors,0,Fractions_Ratios,2
13,"Hannah's journey to camp is \( 3 \) hours and \( 16 \) minutes.
Tori's journey to camp is \( 214 \) minutes.
What is the difference in their journeys in minutes?",Convert from hours to minutes,Time,B,\( 18 \) minutes,C,"54    \( 102 \) minutes
Name: AnswerText, dtype: object",False,161,Answers as if there are 100 minutes in an hour when changing from hours to minutes,Graphs & Coordinate Geometry,Medium,Algebraic Expressions & Sequences,2,Algebra_Advanced_Math,3
14,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?",Select the correct answer to an iteration question to the required degree of accuracy,Trial and Improvement and Iterative Methods,D,\( 4.79 \),A,"56    \( 4.78 \)
Name: AnswerText, dtype: object",True,1775,Stops iteration too early when solving equations,Core Mathematical Fundamentals,Hard,Algebraic Expressions & Sequences,2,Algebra_Advanced_Math,3
14,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?",Select the correct answer to an iteration question to the required degree of accuracy,Trial and Improvement and Iterative Methods,D,\( 4.79 \),B,"57    \( 4.79128 \ldots \)
Name: AnswerText, dtype: object",True,1248,Rounds to the wrong degree of accuracy (rounds too little),Core Mathematical Fundamentals,Hard,Algebraic Expressions & Sequences,2,Algebra_Advanced_Math,3
14,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?",Select the correct answer to an iteration question to the required degree of accuracy,Trial and Improvement and Iterative Methods,D,\( 4.79 \),C,"58    \( 4.8 \)
Name: AnswerText, dtype: object",True,1529,Rounds to the wrong degree of accuracy (significant figures rather than decimal places),Core Mathematical Fundamentals,Hard,Algebraic Expressions & Sequences,2,Algebra_Advanced_Math,3
15,"How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()",Calculate the area of an equilateral triangle where the dimensions are given in the same units,Area of Simple Shapes,D,None of these,B,"61    \( \frac{12 \times 12}{2} \)
Name: AnswerText, dtype: object",False,590,Has used slant height and base to find area of a triangle rather than perpendicular height and base,Geometry & Shapes,Easy,Algebraic Expressions & Sequences,2,Algebra_Advanced_Math,3
15,"How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()",Calculate the area of an equilateral triangle where the dimensions are given in the same units,Area of Simple Shapes,D,None of these,C,"62    \( \frac{12 \times 12 \times 12}{2} \)
Name: AnswerText, dtype: object",False,71,Multiplies all given dimensions when calculating an area,Geometry & Shapes,Easy,Core Mathematical Knowledge Gaps,12,Fundamental_Arithmetic,1
16,"In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()","Divide a quantity into two parts for a given a ratio, where each part is an integer",Sharing in a Ratio,D,\( 18 \mathrm{~m} \),A,"64    \( 16 \mathrm{~m} \)
Name: AnswerText, dtype: object",True,2378,Divides total amount by each side of the ratio instead of dividing by the sum of the parts,Core Mathematical Fundamentals,Medium,Core Mathematical Knowledge Gaps,12,Fundamental_Arithmetic,1
16,"In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()","Divide a quantity into two parts for a given a ratio, where each part is an integer",Sharing in a Ratio,D,\( 18 \mathrm{~m} \),B,"65    \( 30 \mathrm{~m} \)
Name: AnswerText, dtype: object",True,105,Mixes up sides of a ratio,Core Mathematical Fundamentals,Medium,Algebraic Expressions & Sequences,2,Algebra_Advanced_Math,3
16,"In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()","Divide a quantity into two parts for a given a ratio, where each part is an integer",Sharing in a Ratio,D,\( 18 \mathrm{~m} \),C,"66    \( 6 \mathrm{~m} \)
Name: AnswerText, dtype: object",True,1659,Finds one part of a ratio but doesn't multiply that by the number of parts needed,Core Mathematical Fundamentals,Medium,Algebraic Expressions & Sequences,2,Algebra_Advanced_Math,3
17,Which of these shows part of the proof that the sum of two odd numbers is even?,Prove statements involving odd and even numbers,Ordering Negative Numbers,D,\( \begin{array}{l}(2 n-1)+(2 m+1) \\ =2 n+2 m \\ =2(n+m)\end{array} \),A,"68    \( \begin{array}{l}2 n+(2 m+1) \\ =2(n+m)+1\en...
Name: AnswerText, dtype: object",False,616,Does not understand that 2n represents an even number,Core Mathematical Fundamentals,Easy,Simplification & Conversion Errors,9,Data_Conversions,5
17,Which of these shows part of the proof that the sum of two odd numbers is even?,Prove statements involving odd and even numbers,Ordering Negative Numbers,D,\( \begin{array}{l}(2 n-1)+(2 m+1) \\ =2 n+2 m \\ =2(n+m)\end{array} \),B,"69    \( \begin{array}{l}(2 n-1)(2 m+1) \\ =4 m n+2 ...
Name: AnswerText, dtype: object",False,2130,"Does not know the meaning of the word ""sum""",Core Mathematical Fundamentals,Easy,Fundamental Arithmetic Misconceptions,5,Fundamental_Arithmetic,1
17,Which of these shows part of the proof that the sum of two odd numbers is even?,Prove statements involving odd and even numbers,Ordering Negative Numbers,D,\( \begin{array}{l}(2 n-1)+(2 m+1) \\ =2 n+2 m \\ =2(n+m)\end{array} \),C,"70    \( \begin{array}{l}\text { Odd + Odd } \\ =\te...
Name: AnswerText, dtype: object",False,616,Does not understand that 2n represents an even number,Core Mathematical Fundamentals,Easy,Simplification & Conversion Errors,9,Data_Conversions,5
18,"![Number line with -12 and -7 marked. Starting at -12, follow an arrow pointing to the right labelled +10. Then there is an arrow labelled b pointing to the left, which ends at -7 on the number line.]() What is the value of \( b \) ?",Carry out missing number subtraction problems involving negative integers,Adding and Subtracting Negative Numbers,B,\( -5 \),A,"72    \( -7 \)
Name: AnswerText, dtype: object",True,2179,Assumes that an arrow on a number line starts at zero,Core Mathematical Fundamentals,Hard,Fraction Operations & Concepts,1,Fractions_Ratios,2
18,"![Number line with -12 and -7 marked. Starting at -12, follow an arrow pointing to the right labelled +10. Then there is an arrow labelled b pointing to the left, which ends at -7 on the number line.]() What is the value of \( b \) ?",Carry out missing number subtraction problems involving negative integers,Adding and Subtracting Negative Numbers,B,\( -5 \),D,"75    \( -6 \)
Name: AnswerText, dtype: object",True,1824,Counts the starting number when counting backwards,Core Mathematical Fundamentals,Hard,Algebraic Expressions & Sequences,2,Algebra_Advanced_Math,3
19,"Express the following as a single fraction, writing your answer as simply as possible: \( \frac{1}{s}-\frac{t}{3} \)",Subtract algebraic fractions where the denominators are single terms and are not multiples of each other,Adding and Subtracting Algebraic Fractions,C,\( \frac{3-s t}{3 s} \),A,"76    \( \frac{1-t}{3 s} \)
Name: AnswerText, dtype: object",True,1916,"When subtracting fractions, subtracts the numerators and multiplies the denominators","Fractions, Decimals & Conversions",Hard,Data Handling & Number Sense,10,Data_Conversions,5
19,"Express the following as a single fraction, writing your answer as simply as possible: \( \frac{1}{s}-\frac{t}{3} \)",Subtract algebraic fractions where the denominators are single terms and are not multiples of each other,Adding and Subtracting Algebraic Fractions,C,\( \frac{3-s t}{3 s} \),B,"77    \( \frac{s-3 t}{3 s} \)
Name: AnswerText, dtype: object",True,2147,Believes they should multiply each numerator by its original denominator when adding/subtracting fractions,"Fractions, Decimals & Conversions",Hard,Data Handling & Number Sense,10,Data_Conversions,5
19,"Express the following as a single fraction, writing your answer as simply as possible: \( \frac{1}{s}-\frac{t}{3} \)",Subtract algebraic fractions where the denominators are single terms and are not multiples of each other,Adding and Subtracting Algebraic Fractions,C,\( \frac{3-s t}{3 s} \),D,"79    \( \frac{1-t}{s-3} \)
Name: AnswerText, dtype: object",True,907,Does not find a common denominator when adding/subtracting fractions,"Fractions, Decimals & Conversions",Hard,Data Handling & Number Sense,10,Data_Conversions,5
20,"The volume of this cuboid is \( 30 \mathrm{~cm}^{3} \)

What length should replace the star? ![A cuboid, depth 2cm and height 3cm. The width is labelled with a star.]()","Given the volume of a cuboid, work out missing information",Volume of Prisms,B,\( 5 \mathrm{~cm} \),D,"83    \( 25 \mathrm{~cm} \)
Name: AnswerText, dtype: object",True,1984,Adds when calculating volume instead of multiplying,Core Mathematical Fundamentals,Medium,Core Mathematical Knowledge Gaps,12,Fundamental_Arithmetic,1
21,"Step 1: Factorise the following expression

\(
3 x^{2}+5 x+2
\)",Factorise a quadratic expression in the form ax² + bx + c where a is prime,Factorising into a Double Bracket,B,\( (3 x+2)(x+1) \),A,"84    \( (3 x+2)(3 x+1) \)
Name: AnswerText, dtype: object",True,2240,"When factorising a quadratic with a non-unit coefficient of x squared, believes that coefficient will be in front of both x terms in the factorised form",Core Mathematical Fundamentals,Hard,Negative Numbers & Inequalities,4,Algebra_Advanced_Math,3
22,"Tom and Katie are discussing related calculations
Tom says if you know that \( 3748+426=4174 \), then \( 3748+427 \) must equal \( \mathbf{4 1 7 5} \)

Katie says if you know that \( 3748-426=3322 \), then \( 3748 \) - \( 427 \) must equal \( \mathbf{3 3 2 3} \)
Who is correct?","Given the solution to one problem, deduce the answer to a related problem using the same operation",Mental Addition and Subtraction,A,Only Tom,B,"89    Only Katie
Name: AnswerText, dtype: object",True,1408,Does not realise that adding a larger number gives a larger answer,Core Mathematical Fundamentals,Hard,Decimal Operations & Place Value,6,Fundamental_Arithmetic,1
22,"Tom and Katie are discussing related calculations
Tom says if you know that \( 3748+426=4174 \), then \( 3748+427 \) must equal \( \mathbf{4 1 7 5} \)

Katie says if you know that \( 3748-426=3322 \), then \( 3748 \) - \( 427 \) must equal \( \mathbf{3 3 2 3} \)
Who is correct?","Given the solution to one problem, deduce the answer to a related problem using the same operation",Mental Addition and Subtraction,A,Only Tom,C,"90    Both Tom and Katie
Name: AnswerText, dtype: object",True,2408,Does not realise that subtracting a larger number will give a smaller answer,Core Mathematical Fundamentals,Hard,Decimal Operations & Place Value,6,Fundamental_Arithmetic,1
23,"This graph shows how far Fido the dog is from his home.
What might the negative-sloping section represent? ![A graph with time (secs) on the horizontal axis and distance (m) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis. ]()",Interpret sloping linear sections of a displacement-time graph,Real Life Graphs,A,Fido is walking home,B,"93    Fido has fallen asleep
Name: AnswerText, dtype: object",True,2492,Confuses rest and movement on a distance time graph,Graphs & Coordinate Geometry,Hard,Fraction Operations & Concepts,1,Fractions_Ratios,2
23,"This graph shows how far Fido the dog is from his home.
What might the negative-sloping section represent? ![A graph with time (secs) on the horizontal axis and distance (m) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis. ]()",Interpret sloping linear sections of a displacement-time graph,Real Life Graphs,A,Fido is walking home,C,"94    Fido is accelerating
Name: AnswerText, dtype: object",True,2032,Believes the gradient of a distance-time graph is the acceleration,Graphs & Coordinate Geometry,Hard,Fraction Operations & Concepts,1,Fractions_Ratios,2
23,"This graph shows how far Fido the dog is from his home.
What might the negative-sloping section represent? ![A graph with time (secs) on the horizontal axis and distance (m) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis. ]()",Interpret sloping linear sections of a displacement-time graph,Real Life Graphs,A,Fido is walking home,D,"95    Fido is walking away from home
Name: AnswerText, dtype: object",True,2437,Believes a downward slope on a distance-time graph means travelling away,Graphs & Coordinate Geometry,Hard,Fraction Operations & Concepts,1,Fractions_Ratios,2
24,"What should replace the star?
\[
\bigstar \times 4=108
\]",Solve missing number mental multiplication questions,Mental Multiplication and Division,B,\( 27 \),C,"98    \( 432 \)
Name: AnswerText, dtype: object",True,2271,"When solving a problem that requires an inverse operation (e.g. missing number problems), does the original operation",Core Mathematical Fundamentals,Easy,Algebraic Expressions & Sequences,2,Algebra_Advanced_Math,3
24,"What should replace the star?
\[
\bigstar \times 4=108
\]",Solve missing number mental multiplication questions,Mental Multiplication and Division,B,\( 27 \),D,"99    \( 104 \)
Name: AnswerText, dtype: object",True,1319,Adds instead of multiples,Core Mathematical Fundamentals,Easy,Core Mathematical Knowledge Gaps,12,Fundamental_Arithmetic,1
25,"The formula for speed is
\(
\text { Speed }=\frac{\text { Distance }}{\text { Time }}
\)
A snail travels \( 4 \mathrm{~m} \) in \( 10 \) hours. What was its speed?",Calculate speed where distance and time are in the appropriate units,Substitution into Formula,A,\( 0.4 \) metres per hour,B,"101    \( 40 \) metres per hour
Name: AnswerText, dtype: object",True,509,Believes speed is distance multiplied by time,Core Mathematical Fundamentals,Medium,Fraction Operations & Concepts,1,Fractions_Ratios,2
