QuestionId,ConstructId,ConstructName,SubjectId,SubjectName,CorrectAnswer,QuestionText,Construct_Subject
65,1492,Solve quadratic equations using the quadratic formula where the coefficient of x² is 1 ,65,Quadratic Equations,D,"Vera wants to solve this equation using the quadratic formula.
\(
h^{2}+4=5 h
\)

What should replace the triangle? ![The image shows the structure of the quadratic formula. It says plus or minus the square root, and the triangle is the first thing after the square root sign, with a minus sign after it.]()",Solve quadratic equations using the quadratic formula where the coefficient of x² is 1 _Quadratic Equations
66,306,Subtract decimals where the numbers involved have a different number of decimal places,223,Adding and Subtracting with Decimals,C,\( 4.72-3.1 \) What should replace the star?,Subtract decimals where the numbers involved have a different number of decimal places_Adding and Subtracting with Decimals
67,479,Calculate the square root of a number,246,"Square Roots, Cube Roots, etc",A,What is the square root of nine?,"Calculate the square root of a number_Square Roots, Cube Roots, etc"
68,1490,Solve quadratic equations using completing the square in the form (x + q)² + r ,65,Quadratic Equations,B,"One of these equations has no real solutions
Which is it?",Solve quadratic equations using completing the square in the form (x + q)² + r _Quadratic Equations
69,2942,Compare relative frequencies in order to determine which prediction is likely to be more reliable,110,Experimental Probability and Relative Frequency,B,"A vegetarian restaurant wants to know people's eating habits
\( 50 \) people in Town \( A \) are asked if they eat meat. \begin{tabular}{|c|c|}
\hline \multicolumn{2}{|c|}{ Town A } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 39 \) \\
\hline No & \( 11 \) \\
\hline
\end{tabular} \( 200 \) people in Town B are asked if they eat meat. \begin{tabular}{|cc|}
\hline \multicolumn{2}{|c|}{ Town B } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 143 \) \\
\hline No & \( 57 \) \\
\hline
\end{tabular} Which results are more reliable?",Compare relative frequencies in order to determine which prediction is likely to be more reliable_Experimental Probability and Relative Frequency
70,586,Calculate percentage of an amount using a calculator where the percent is an integer,233,Percentages of an Amount,B,"What should replace the star? ![A percentage number line representing the value 630 with a star above the 84% mark]() Use your calculator, if needed, and give your answer to \( 1 \) decimal place.",Calculate percentage of an amount using a calculator where the percent is an integer_Percentages of an Amount
71,2908,Interpret continuous data using a line graph,117,Time Series and Line Graphs,A,"![A line graph with title ""Height of rocket"". 
The x-axis is titled ""Time in seconds"" and the scale is labelled from 0 to 90 seconds in steps of 10 seconds.
The y-axis is titled ""Height in metres"" and the scale is labelled from 0 to 60 in steps of 10 metres. The following points are plotted and joined together: (0, 0), (10, 10), (20, 30),(30, 40), (40, 50), (60, 60).
]() How many metres did the rocket travel between \( 20 \) and \( 50 \) seconds?",Interpret continuous data using a line graph_Time Series and Line Graphs
72,922,Know the equation of the axes,258,Horizontal and Vertical Lines,D,What is the equation of the \( y \) axis?,Know the equation of the axes_Horizontal and Vertical Lines
73,208,Round integers to the nearest 1000,213,"Rounding to the Nearest Whole (10, 100, etc)",D,What is \( 326 \) rounded to the nearest \( 1000 \) ?,"Round integers to the nearest 1000_Rounding to the Nearest Whole (10, 100, etc)"
74,1494,Solve quadratic equations using balancing,65,Quadratic Equations,D,"One of these equations has no real solutions.
Which is it?",Solve quadratic equations using balancing_Quadratic Equations
75,1505,Select the correct answer to an iteration question to the required degree of accuracy,69,Trial and Improvement and Iterative Methods,A,"The area of the rectangle on the right is \( 8 \mathrm{~cm}^{2} \).

To find the value of \( x \), Sally uses:
\(x_{n+1}=\frac{8}{9}-\frac{x^{3}{ }_{n}}{9}\)

If \( x_{0}=0 \), what is the value of \( x \) to \( 3 \) decimal places? ![A rectangle with the base labelled x and the perpendicular height labelled x^2 + 9]()",Select the correct answer to an iteration question to the required degree of accuracy_Trial and Improvement and Iterative Methods
76,2377,Recall and use the intersecting diagonals properties of a rectangle,88,Properties of Quadrilaterals,C,The diagonals of a rectangle with different length sides \(_____________\) intersect at right-angles ![A rectangle](),Recall and use the intersecting diagonals properties of a rectangle_Properties of Quadrilaterals
77,960,Identify perpendicular lines written in the form y = mx + c,263,Perpendicular Lines,B,"Which of the following lines is perpendicular to
\[
y=3 x-2 ?
\]",Identify perpendicular lines written in the form y = mx + c_Perpendicular Lines
78,2582,"Given the area of a parallelogram, calculate a missing dimension",75,Area of Simple Shapes,A,"The area of this parallelogram is \( 24 \mathrm{~cm}^{2} \)

What measurement should replace the star? ![Parallelogram with base length 6cm and the perpendicular height has a star symbol.]()","Given the area of a parallelogram, calculate a missing dimension_Area of Simple Shapes"
79,3141,Solve quadratic inequalities from the graph of the quadratic,168,Solving Quadratic Inequalities,A,"Using the graph of
\(
y=x^{2}-x-6
\)

What is the correct way to write the solution to
\(
y=x^{2}-x-6 \geq 0 ?
\) ![The is a parabolic graph that crosses the x axis at the points (-2,0) and (3,0) and crosses the y axis at (0, -6).]()",Solve quadratic inequalities from the graph of the quadratic_Solving Quadratic Inequalities
80,2930,Fill in regions of a double Venn diagram with numbers from given information,344,Venn Diagrams,C,"In which region would \( \mathbf{1 5} \) belong? ![A Venn diagram with two sets, one labelled Square number and one labelled Odd number. Square Number without the intersection is labelled A, Odd Number without the intersection is labelled C, the intersection of the two sets is labelled B, and outside the circles is labelled D.]()",Fill in regions of a double Venn diagram with numbers from given information_Venn Diagrams
81,30,Order integers with a different number of digits,202,Place Value,B,"Which of these options show the numbers
650,312  
3,506,212
3,652
605,321
in order from smallest to largest?",Order integers with a different number of digits_Place Value
82,3032,Understand inequality notation,165,Inequalities on Number Lines,C,"Which of the following shows "" \( x \) is greater than \( 9 \) ""?",Understand inequality notation_Inequalities on Number Lines
83,220,Round numbers greater than 1 to one significant figure,215,Rounding to Significant Figures,A,"Round this number to \( 1 \) significant figure:
\( 400099 \)",Round numbers greater than 1 to one significant figure_Rounding to Significant Figures
84,920,Recognise the equations of horizontal lines from a diagram,258,Horizontal and Vertical Lines,B,What is the equation of this line? ![A graph of a horizontal line going through 3 on the y axis. ](),Recognise the equations of horizontal lines from a diagram_Horizontal and Vertical Lines
85,1102,Generate a descending integer linear sequence from the nth term rule,171,Linear Sequences (nth term),C,"What is the first term of the sequence given by this rule:
\[
2-7 n
\]",Generate a descending integer linear sequence from the nth term rule_Linear Sequences (nth term)
86,424,Add proper fractions with the same denominator,230,Adding and Subtracting Fractions,D,"Work out:
\(
\frac{4}{11}+\frac{7}{11}
\)
Write your answer in its simplest form.",Add proper fractions with the same denominator_Adding and Subtracting Fractions
87,1017,"Given a sketch of a quadratic graph, f(x), write down the solutions to f(x) = a",65,Quadratic Equations,B,"According to the graph, what is the approximate solution to
\(x^{2}+4 x-1=-6\) ![A set of axes with the quadratic graph y=x^2+4x-1 drawn on.]()","Given a sketch of a quadratic graph, f(x), write down the solutions to f(x) = a_Quadratic Equations"
88,2303,Calculate the volume of other prisms when the dimensions are given in the same units,189,Volume of Prisms,D,"![A triangular based prism]() Tom likes to remember:

Volume of a prism = Area of cross section \( X \) depth

In this shape, what length is the ""depth""?",Calculate the volume of other prisms when the dimensions are given in the same units_Volume of Prisms
89,1102,Generate a descending integer linear sequence from the nth term rule,171,Linear Sequences (nth term),D,"What is the first term of the sequence given by this rule:
\[
1-5 n
\]",Generate a descending integer linear sequence from the nth term rule_Linear Sequences (nth term)
90,1781,Find missing angles in a non-special quadrilateral,183,Angles in Polygons,D,What is the size of angle \( p \) in this quadrilateral? ![Not drawn to scale](),Find missing angles in a non-special quadrilateral_Angles in Polygons
91,3136,Rearrange a quadratic equation so that it is in the correct form to be factorised,65,Quadratic Equations,D,What would be the most useful first step if we wanted to solve the following quadratic equation? \( x^{2}+7 x=8 \),Rearrange a quadratic equation so that it is in the correct form to be factorised_Quadratic Equations
92,690,Reduce a ratio involving two numbers to its simplest form,334,Writing Ratios,D,"Write the following ratio in its simplest form so both sides of the ratio are integers:
\(
\frac{1}{4}: \frac{1}{2}
\)",Reduce a ratio involving two numbers to its simplest form_Writing Ratios
93,997,"Given the sketch of a curve in the form (x + a)², work out its factorised form",266,Sketching from Factorised Form,A,"What is the equation of this curve? ![A quadratic curve with minimum point (1,0).]()","Given the sketch of a curve in the form (x + a)², work out its factorised form_Sketching from Factorised Form"
94,1139,Recognise when a descending sequence is quadratic,172,Quadratic Sequences,A,"Tom and Katie are discussing quadratic sequences.

Tom says this is a quadratic sequence: \( 24,15,8,3,0 \ldots \)

Katie says this is a quadratic sequence: \( 124,63,26,7,3,0, \ldots \)

Who is correct?",Recognise when a descending sequence is quadratic_Quadratic Sequences
95,702,"Given information about the relationship between two parts (e.g. one part is worth 5 more than another), work out other parts",241,Sharing in a Ratio,B,"Percy, Quentin and Robbie share gold coins in the ratio of
\[
3: 7: 8
\]
Percy gets \( 36 \) fewer coins than Quentin.
How many gold coins did Robbie get?","Given information about the relationship between two parts (e.g. one part is worth 5 more than another), work out other parts_Sharing in a Ratio"
96,1482,"Solve linear equations with the variable appearing on both sides, with all positive integers",64,Linear Equations,B,"Tom and Katie are arguing about a first step to solve this equation:
\(4 v+1=9 v-3\)

Tom says you can write: \( 5 v+1=-3 \)

Katie says you can write: \( 4 v+4=9 v \)

Who is correct?","Solve linear equations with the variable appearing on both sides, with all positive integers_Linear Equations"
97,1742,Recognise the vertically opposite angles relationship,181,"Basic Angle Facts (straight line, opposite, around a point, etc)",C,"Which of the following correctly describes the relationship between the two marked angles? ![A diagram showing 3 lines crossing at a point to form 6 angles. Two angles are marked in orange, there are two unmarked angles between them on either side.]()","Recognise the vertically opposite angles relationship_Basic Angle Facts (straight line, opposite, around a point, etc)"
98,3179,Given a sketch of a linear graph solve f(x) = n,264,Graphical Solution of Simultaneous Equations,D,"This is a graph of
\(y=0.4 x-3\) ![A set of axes with the graph y=0.4x-3 drawn on.]() Use the graph to solve
\(0.4 x-3=-1\)",Given a sketch of a linear graph solve f(x) = n_Graphical Solution of Simultaneous Equations
99,2598,"Given the perimeter, work out a missing length requiring knowledge of the geometrical properties of the shape",197,Volume and Capacity Units,C,"A regular pentagon has a total perimeter of \( 17 \mathrm{~cm} \).
What is the length of each of its sides?","Given the perimeter, work out a missing length requiring knowledge of the geometrical properties of the shape_Volume and Capacity Units"
